0:0 Missingno
1:0 妙蛙种子
2:0 妙蛙草
3:0 妙蛙花
4:0 小火龙
5:0 火恐龙
6:0 喷火龙
7:0 杰尼龟
8:0 卡咪龟
9:0 水箭龟
10:0 绿毛虫
11:0 铁甲蛹
12:0 巴大蝴
13:0 独角虫
14:0 铁壳昆
15:0 大针蜂
16:0 波波
17:0 比比鸟
18:0 比雕
19:0 小拉达
20:0 拉达
21:0 烈雀
22:0 大嘴雀
23:0 阿柏蛇
24:0 阿柏怪
25:0 皮卡丘
26:0 雷丘
27:0 穿山鼠
28:0 穿山王
29:0 尼多兰
30:0 尼多娜
31:0 尼多后
32:0 尼多朗
33:0 尼多力诺
34:0 尼多王
35:0 皮皮
36:0 皮可西
37:0 六尾
38:0 九尾
39:0 胖丁
40:0 胖可丁
41:0 超音蝠
42:0 大嘴蝠
43:0 走路草
44:0 臭臭花
45:0 霸王花
46:0 派拉斯
47:0 派拉斯特
48:0 毛球
49:0 末入蛾
50:0 地鼠
51:0 三地鼠
52:0 喵喵
53:0 猫老大
54:0 可达鸭
55:0 哥达鸭
56:0 猴怪
57:0 火爆猴
58:0 卡蒂狗
59:0 风速狗
60:0 蚊香蝌蚪
61:0 蚊香蛙
62:0 快泳蛙
63:0 凯西
64:0 勇吉拉
65:0 胡地
66:0 腕力
67:0 豪力
68:0 怪力
69:0 喇叭芽
70:0 口呆花
71:0 大食花
72:0 玛瑙水母
73:0 毒刺水母
74:0 小拳石
75:0 隆隆石
76:0 隆隆岩
77:0 小火马
78:0 烈焰马
79:0 呆呆兽
80:0 呆河马
81:0 小磁怪
82:0 三合一磁怪
83:0 大葱鸭
84:0 嘟嘟
85:0 嘟嘟利
86:0 小海狮
87:0 白海狮
88:0 臭泥
89:0 臭臭泥
90:0 大舌贝
91:0 铁甲贝
92:0 鬼斯
93:0 鬼斯通
94:0 耿鬼
95:0 大岩蛇
96:0 素利普
97:0 素利拍
98:0 大钳蟹
99:0 巨钳蟹
100:0 雷电球
101:0 顽皮弹
102:0 蛋蛋
