0:0 Missingno
1:0 Bulbizarre
2:0 Herbizarre
3:0 Florizarre
4:0 Salameche
5:0 Reptincel
6:0 Dracaufeu
7:0 Carapuce
8:0 Carabaffe
9:0 Tortank
10:0 Chenipan
11:0 Chrysacier
12:0 Papilusion
13:0 Aspicot
14:0 Coconfort
15:0 Dardargnan
16:0 Roucool
17:0 Roucoups
18:0 Roucarnage
19:0 Rattata
20:0 Rattatac
21:0 Piafabec
22:0 Rapasdepic
23:0 Abo
24:0 Arbok
25:0 Pikachu
26:0 Raichu
27:0 Sabelette
28:0 Sablaireau
29:0 Nidoran F
30:0 Nidorina
31:0 Nidoqueen
32:0 Nidoran M
33:0 Nidorino
34:0 Nidoking
35:0 Melofee
36:0 Melodelfe
37:0 Goupix
38:0 Feunard
39:0 Rondoudou
40:0 Grodoudou
41:0 Nosferapti
42:0 Nosferalto
43:0 Mystherbe
44:0 Ortide
45:0 Rafflesia
46:0 Paras
47:0 Parasect
48:0 Mimitoss
49:0 Aeromite
50:0 Taupiqueur
51:0 Triopikeur
52:0 Miaouss
53:0 Persian
54:0 Psykokwak
55:0 Akwakwak
56:0 Ferosinge
57:0 Colossinge
58:0 Caninos
59:0 Arcanin
60:0 Ptitard
61:0 Tetarte
62:0 Tartard
63:0 Abra
64:0 Kadabra
65:0 Alakazam
66:0 Machoc
67:0 Machopeur
68:0 Mackogneur
69:0 Chetiflor
70:0 Boustiflor
71:0 Empiflor
72:0 Tentacool
73:0 Tentacruel
74:0 Racaillou
75:0 Gravalanch
76:0 Grolem
77:0 Ponyta
78:0 Galopa
79:0 Ramoloss
80:0 Flagadoss
81:0 Magneti
82:0 Magneton
83:0 Canarticho
84:0 Doduo
85:0 Dodrio
86:0 Otaria
87:0 Lamantine
88:0 Tadmorv
89:0 Grotadmorv
90:0 Kokiyas
91:0 Crustabri
92:0 Fantominus
93:0 Spectrum
94:0 Ectoplasma
95:0 Onix
96:0 Soporifik
97:0 Hypnomade
98:0 Krabby
99:0 Krabboss
100:0 Voltorbe
101:0 Electrode
102:0 Noeunoeuf
103:0 Noadkoko
104:0 Osselait
105:0 Ossatueur
106:0 Kicklee
107:0 Tygnon
108:0 Excelangue
109:0 Smogo
110:0 Smogogo
111:0 Rhinocorne
112:0 Rhinoferos
113:0 Leveinard
114:0 Saquedeneu
115:0 Kangourex
116:0 Hypotrempe
117:0 Hypocean
118:0 Poissirene
119:0 Poissoroy
120:0 Stari
121:0 Staross
122:0 M.Mime
123:0 Insecateur
124:0 Lippoutou
125:0 Elektek
126:0 Magmar
127:0 Scarabrute
128:0 Tauros
129:0 Magicarpe
130:0 Leviator
131:0 Lokhlass
132:0 Metamorph
133:0 Evoli
134:0 Aquali
135:0 Voltali
136:0 Pyroli
137:0 Porygon
138:0 Amonita
139:0 Amonistar
140:0 Kabuto
141:0 Kabutops
142:0 Ptera
143:0 Ronflex
144:0 Artikodin
145:0 Electhor
146:0 Sulfura
147:0 Minidraco
148:0 Draco
149:0 Dracolosse
150:0 Mewtwo
151:0 Mew
152:0 Germignon
153:0 Macronium
154:0 Meganium
155:0 Hericendre
156:0 Feurisson
157:0 Typhlosion
158:0 Kaiminus
159:0 Crocrodil
160:0 Aligatueur
161:0 Fouinette
162:0 Fouinar
163:0 Hoothoot
164:0 Noarfang
165:0 Coxy
166:0 Coxyclaque
167:0 Mimigal
168:0 Migalos
169:0 Nostenfer
170:0 Loupio
171:0 Lanturn
172:0 Pichu
172:1 Spiky Pichu
173:0 Melo
174:0 Toudoudou
175:0 Togepi
176:0 Togetic
177:0 Natu
178:0 Xatu
