1:0 フシギダネ
2:0 フシギソウ
3:0 フシギバナ
4:0 ヒトカゲ
5:0 リザード
6:0 リザードン
7:0 ゼニガメ
8:0 カメール
9:0 カメックス
10:0 キャタピー
11:0 トランセル
12:0 バタフリー
13:0 ビードル
14:0 コクーン
15:0 スピアー
16:0 ポッポ
17:0 ピジョン
18:0 ピジョット
19:0 コラッタ
20:0 ラッタ
21:0 オニスズメ
22:0 オニドリル
23:0 アーボ
24:0 アーボック
25:0 ピカチュウ
26:0 ライチュウ
27:0 サンド
28:0 サンドパン
29:0 ニドラン♀
30:0 ニドリーナ
31:0 ニドクイン
32:0 ニドラン♂
33:0 ニドリーノ
34:0 ニドキング
35:0 ピッピ
36:0 ピクシー
37:0 ロコン
38:0 キュウコン
39:0 プリン
40:0 プクリン
41:0 ズバット
42:0 ゴルバット
43:0 ナゾノクサ
44:0 クサイハナ
45:0 ラフレシア
46:0 パラス
47:0 パラセクト
48:0 コンパン
49:0 モルフォン
50:0 ディグダ
51:0 ダグトリオ
52:0 ニャース
53:0 ペルシアン
54:0 コダック
55:0 ゴルダック
56:0 マンキー
57:0 オコリザル
58:0 ガーディ
59:0 ウインディ
60:0 ニョロモ
61:0 ニョロゾ
62:0 ニョロボン
63:0 ケーシィ
64:0 ユンゲラー
65:0 フーディン
66:0 ワンリキー
67:0 ゴーリキー
68:0 カイリキー
69:0 マダツボミ
70:0 ウツドン
71:0 ウツボット
72:0 メノクラゲ
73:0 ドククラゲ
74:0 イシツブテ
75:0 ゴローン
76:0 ゴローニャ
77:0 ポニータ
78:0 ギャロップ
79:0 ヤドン
80:0 ヤドラン
81:0 コイル
82:0 レアコイル
83:0 カモネギ
84:0 ドードー
85:0 ドードリオ
86:0 パウワウ
87:0 ジュゴン
88:0 ベトベター
89:0 ベトベトン
90:0 シェルダー
91:0 パルシェン
92:0 ゴース
93:0 ゴースト
94:0 ゲンガー
95:0 イワーク
96:0 スリープ
97:0 スリーパー
98:0 クラブ
99:0 キングラー
100:0 ビリリダマ
101:0 マルマイン
102:0 タマタマ
103:0 ナッシー
104:0 カラカラ
105:0 ガラガラ
106:0 サワムラー
107:0 エビワラー
108:0 ベロリンガ
109:0 ドガース
110:0 マタドガス
111:0 サイホーン
112:0 サイドン
113:0 ラッキー
114:0 モンジャラ
115:0 ガルーラ
116:0 タッツー
117:0 シードラ
118:0 トサキント
119:0 アズマオウ
120:0 ヒトデマン
121:0 スターミー
122:0 バリヤード
123:0 ストライク
124:0 ルージュラ
125:0 エレブー
126:0 ブーバー
127:0 カイロス
128:0 ケンタロス
129:0 コイキング
130:0 ギャラドス
131:0 ラプラス
132:0 メタモン
133:0 イーブイ
134:0 シャワーズ
135:0 サンダース
136:0 ブースター
137:0 ポリゴン
138:0 オムナイト
139:0 オムスター
140:0 カブト
141:0 カブトプス
142:0 プテラ
143:0 カビゴン
144:0 フリーザー
145:0 サンダー
146:0 ファイヤー
147:0 ミニリュウ
148:0 ハクリュー
149:0 カイリュー
150:0 ミュウツー
151:0 ミュウ
152:0 チコリータ
153:0 ベイリーフ
154:0 メガニウム
155:0 ヒノアラシ
156:0 マグマラシ
157:0 バクフーン
158:0 ワニノコ
159:0 アリゲイツ
160:0 オーダイル
161:0 オタチ
162:0 オオタチ
163:0 ホーホー
164:0 ヨルノズク
165:0 レディバ
166:0 レディアン
167:0 イトマル
168:0 アリアドス
169:0 クロバット
170:0 チョンチー
171:0 ランターン
172:0 ピチュー
173:0 ピィ
174:0 ププリン
175:0 トゲピー
176:0 トゲチック
177:0 ネイティ
178:0 ネイティオ
179:0 メリープ
180:0 モココ
181:0 デンリュウ
182:0 キレイハナ
183:0 マリル
184:0 マリルリ
185:0 ウソッキー
186:0 ニョロトノ
187:0 ハネッコ
188:0 ポポッコ
189:0 ワタッコ
190:0 エイパム
191:0 ヒマナッツ
192:0 キマワリ
193:0 ヤンヤンマ
194:0 ウパー
195:0 ヌオー
196:0 エーフィ
197:0 ブラッキー
198:0 ヤミカラス
199:0 ヤドキング
200:0 ムウマ
201:0 アンノーン
202:0 ソーナンス
203:0 キリンリキ
204:0 クヌギダマ
205:0 フォレトス
206:0 ノコッチ
207:0 グライガー
208:0 ハガネール
209:0 ブルー
210:0 グランブル
211:0 ハリーセン
212:0 ハッサム
213:0 ツボツボ
214:0 ヘラクロス
215:0 ニューラ
216:0 ヒメグマ
217:0 リングマ
218:0 マグマッグ
219:0 マグカルゴ
220:0 ウリムー
221:0 イノムー
222:0 サニーゴ
223:0 テッポウオ
224:0 オクタン
225:0 デリバード
226:0 マンタイン
227:0 エアームド
228:0 デルビル
229:0 ヘルガー
