0:0 미싱노
1:0 이상해씨
2:0 이상해풀
3:0 이상해꽃
4:0 파이리
5:0 리자드
6:0 리자몽
7:0 꼬부기
8:0 어니부기
9:0 거북왕
10:0 캐터피
11:0 단데기
12:0 버터플
13:0 뿔충이
14:0 딱충이
15:0 독침붕
16:0 구구
17:0 피죤
18:0 피죤투
19:0 꼬렛
20:0 레트라
21:0 깨비참
22:0 깨비드릴조
23:0 아보
24:0 아보크
25:0 피카츄
26:0 라이츄
27:0 모래두지
28:0 고지
29:0 니드런♀
30:0 니드리나
31:0 니드퀸
32:0 니드런♂
33:0 니드리노
34:0 니드킹
35:0 삐삐
36:0 픽시
37:0 식스테일
38:0 나인테일
39:0 푸린
40:0 푸크린
41:0 주뱃
42:0 골뱃
43:0 뚜벅초
44:0 냄새꼬
45:0 라플레시아
46:0 파라스
47:0 파라섹트
48:0 콘팡
49:0 도나리
50:0 디그다
51:0 닥트리오
52:0 나옹
53:0 페르시온
54:0 고라파덕
55:0 골덕
56:0 망키
57:0 성원숭
58:0 가디
59:0 윈디
60:0 발챙이
61:0 수륙챙이
62:0 강챙이
63:0 캐이시
64:0 윤겔라
65:0 후딘
66:0 알통몬
67:0 근육몬
68:0 괴력몬
69:0 모다피
70:0 우츠동
71:0 우츠보트
72:0 왕눈해
73:0 독파리
74:0 꼬마돌
75:0 데구리
76:0 딱구리
77:0 포니타
78:0 날쌩마
79:0 야돈
80:0 야도란
81:0 코일
82:0 레어코일
83:0 파오리
84:0 두두
85:0 두트리오
86:0 쥬쥬
87:0 쥬레곤
88:0 질퍽이
89:0 질뻐기
90:0 셀러
91:0 파르셀
92:0 고오스
93:0 고우스트
94:0 팬텀
95:0 롱스톤
96:0 슬리프
97:0 슬리퍼
98:0 크랩
99:0 킹크랩
100:0 찌리리공
101:0 붐볼
102:0 아라리
103:0 나시
104:0 탕구리
105:0 텅구리
106:0 시라소몬
107:0 홍수몬
108:0 내루미
109:0 또가스
110:0 또도가스
111:0 뿔카노
112:0 코뿌리
113:0 럭키
114:0 덩쿠리
115:0 캥카
116:0 쏘드라
117:0 시드라
118:0 콘치
119:0 왕콘치
120:0 별가사리
121:0 아쿠스타
122:0 마임맨
123:0 스라크
124:0 루주라
125:0 에레브
126:0 마그마
127:0 쁘사이저
128:0 켄타로스
129:0 잉어킹
130:0 갸라도스
131:0 라프라스
132:0 메타몽
133:0 이브이
134:0 샤미드
135:0 쥬피썬더
136:0 부스터
137:0 폴리곤
138:0 암나이트
139:0 암스타
140:0 투구
141:0 투구푸스
142:0 프테라
143:0 잠만보
144:0 프리져
145:0 썬더
146:0 파이어
147:0 미뇽
148:0 신뇽
149:0 망나뇽
150:0 뮤츠
151:0 뮤
152:0 치코리타
153:0 베이리프
154:0 메가니움
155:0 브케인
156:0 마그케인
157:0 블레이범
158:0 리아코
159:0 엘리게이
160:0 장크로다일
161:0 꼬리선
162:0 다꼬리
163:0 부우부
164:0 야부엉
165:0 레디바
166:0 레디안
167:0 페이검
168:0 아리아도스
169:0 크로뱃
170:0 초라기
171:0 랜턴
172:0 피츄
172:1 Spiky Pichu
173:0 삐
174:0 푸푸린
175:0 토게피
176:0 토게틱
177:0 네이티
178:0 네이티오
179:0 메리프
180:0 보송송
181:0 전룡
182:0 아르코
183:0 마릴
184:0 마릴리
185:0 꼬지모
186:0 왕구리
187:0 통통코
188:0 두코
189:0 솜솜코
190:0 에이팜
191:0 해너츠
192:0 해루미
193:0 왕자리
194:0 우파
195:0 누오
196:0 에브이
197:0 블래키
198:0 니로우
199:0 야도킹
200:0 무우마
201:0 안농
202:0 마자용
203:0 키링키
204:0 피콘
205:0 쏘콘
206:0 노고치
207:0 글라이거
208:0 강철톤
209:0 블루
210:0 그랑블루
211:0 침바루
212:0 핫삼
213:0 단단지
214:0 헤라크로스
215:0 포푸니
216:0 깜지곰
217:0 링곰
218:0 마그마그
219:0 마그카르고
220:0 꾸꾸리
221:0 메꾸리
222:0 코산호
223:0 총어
224:0 대포무노
225:0 딜리버드
226:0 만타인
227:0 무장조
228:0 델빌
229:0 헬가
230:0 킹드라
231:0 코코리
232:0 코리갑
233:0 폴리곤2
234:0 노라키
235:0 루브도
236:0 배루키
237:0 카포에라
238:0 뽀뽀라
239:0 에레키드
240:0 마그비
241:0 밀탱크
242:0 해피너스
243:0 라이코
244:0 앤테이
245:0 스이쿤
246:0 애버라스
247:0 데기라스
248:0 마기라스
249:0 루기아
250:0 칠색조
251:0 세레비
252:0 나무지기
253:0 나무돌이
254:0 나무킹
255:0 아차모
256:0 영치코
257:0 번치코
258:0 물짱이
259:0 늪짱이
260:0 대짱이
261:0 포챠나
262:0 그라에나
263:0 지그재구리
264:0 직구리
265:0 개무소
266:0 실쿤
267:0 뷰티플라이
268:0 카스쿤
269:0 독케일
270:0 연꽃몬
271:0 로토스
272:0 로파파
273:0 도토링
274:0 잎새코
275:0 다탱구
276:0 테일로
277:0 스왈로
278:0 갈모매
279:0 페리퍼
280:0 랄토스
281:0 킬리아
282:0 가디안
283:0 비구슬
284:0 비나방
285:0 버섯꼬
286:0 버섯모
287:0 게을로
288:0 발바로
289:0 게을킹
290:0 토중몬
291:0 아이스크
292:0:1 껍질몬
293:0 소곤룡
294:0 노곤룡
295:0 폭음룡
296:0 마크탕
297:0 하리뭉
298:0 루리리
299:0 코코파스
300:0 에나비
301:0 델케티
302:0 깜까미
303:0 입치트
304:0 가보리
305:0 갱도라
306:0 보스로라
307:0 요가랑
308:0 요가램
309:0 썬더라이
310:0 썬더볼트
311:0 플러시
312:0 마이농
313:0 볼비트
314:0 네오비트
315:0 로젤리아
316:0 꼴깍몬
317:0 꿀꺽몬
318:0 샤프니아
319:0 샤크니아
320:0 고래왕자
321:0 고래왕
322:0 둔타
323:0 폭타
324:0 코터스
325:0 피그점프
326:0 피그킹
327:0 얼루기
328:0 톱치
329:0 비브라바
330:0 플라이곤
331:0 선인왕
332:0 밤선인
333:0 파비코
334:0 파비코리
335:0 쟝고
336:0 세비퍼
337:0 루나톤
338:0 솔록
339:0 미꾸리
340:0 메깅
341:0 가재군
342:0 가재장군
343:0 오뚝군
344:0 점토도리
345:0 릴링
346:0 릴리요
347:0 아노딥스
348:0 아말도
349:0 빈티나
350:0 밀로틱
351:0:H 캐스퐁
352:0 켈리몬
353:0 어둠대신
354:0 다크펫
355:0 해골몽
356:0 미라몽
357:0 트로피우스
358:0 치링
359:0 앱솔
360:0 마자
361:0 눈꼬마
362:0 얼음귀신
363:0 대굴레오
364:0 씨레오
365:0 씨카이저
366:0 진주몽
367:0 헌테일
368:0 분홍장이
369:0 시라칸
370:0 사랑동이
371:0 아공이
372:0 쉘곤
373:0 보만다
374:0 메탕
375:0 메탕구
376:0 메타그로스
377:0 레지록
378:0 레지아이스
379:0 레지스틸
380:0 라티아스
381:0 라티오스
382:0 가이오가
383:0 그란돈
384:0 레쿠쟈
385:0 지라치
386:0 데오키스
387:0 모부기
388:0 수풀부기
